timber_col_name,timber_col_required,sawmill_col_name,col_spec_csv,col_spec_xlsx,timber_obj_name,timber_field_name,timber_field_name_r
id_res_out,TRUE,ID,i,numeric,id,id,id
pid_res_out,FALSE,,i,numeric,pid_ro,pid_ro,pid_ro
id_reference,FALSE,,i,numeric,factor__reference__id,reference_id,reference_id
pid_reference,FALSE,,i,numeric,factor__reference__pid_reference,pid_reference,pid_reference
ref_rwid,TRUE,RWID,c,text,factor__reference__refwk,refwk,refwk
ref_doi,TRUE,doi,c,text,factor__reference__publish_doi,publish_doi,publish_doi
ref_pmid,TRUE,pmid,c,text,factor__reference__publish_pmid,publish_pmid,publish_pmid
ref_bibtex_key,TRUE,ref_key,c,text,factor__reference__key_bibtex,key_bibtex,key_bibtex
ref_title,FALSE,,c,text,factor__reference__ref_title,ref_title,ref_title
country,FALSE,,c,text,factor__reference__ref_country__country,country,country
study_design,FALSE,,c,text,factor__reference__study_design__design,design,design
id_factor,FALSE,,i,numeric,factor__id,factor_id,factor_id
pid_factor,FALSE,,i,numeric,factor__pid_factor,pid_factor,pid_factor
factor_title,TRUE,factor_title,c,text,factor__factor_title,factor_title,factor_title
factor_description,TRUE,factor_description,c,text,factor__factor_description,factor_description,factor_description
factor_group,TRUE,group_exposed,c,text,factor__group_factor,group_factor,group_factor
comparator_group,TRUE,group_referent,c,text,factor__group_comparator,group_comparator,group_comparator
host_level_01,TRUE,host_01,c,text,factor__host_level_01__host_name,host_name,host_name
host_level_02,TRUE,host_02,c,text,factor__host_level_02__host_subtype_name,host_subtype_name,host_subtype_name
host_production_stream,FALSE,,c,text,factor__host_production_stream,host_production_stream_id,host_production_stream_id
host_life_stage,FALSE,,c,text,factor__host_life_stage,host_life_stage_id,host_life_stage_id
stage_allocate,TRUE,stage_allocate,c,text,factor__group_allocate_production_stage__stage,stage,stage
stage_observe,TRUE,stage_observe,c,text,group_observe_production_stage__stage,stage,stage..27
moa_type,TRUE,res_format,c,text,moa_type__res_format,res_format,res_format
moa_unit,TRUE,res_unit,c,text,moa_unit__res_unit,res_unit,res_unit
resistance_class,FALSE,,c,text,resistance__levelname_4_coarse,levelname_4_coarse,levelname_4_coarse
resistance,TRUE,AMR,c,text,resistance__levelname_5,levelname_5,levelname_5
resistance_gene,FALSE,,c,text,resistance_gene__element_name,element_name,element_name
microbe_level_01,TRUE,microbe_01,c,text,microbe_level_01__microbe_name,microbe_name,microbe_name
microbe_level_02,TRUE,microbe_02,c,text,microbe_level_02__microbe_subtype_name,microbe_subtype_name,microbe_subtype_name
is_figure_extract,FALSE,,l,logical,is_figure_extract,is_figure_extract,is_figure_extract
figure_extract_method,FALSE,,c,text,figure_extract_method__method_name,method_name,method_name
figure_extract_reproducible,FALSE,,l,logical,figure_extract_reproducible,figure_extract_reproducible,figure_extract_reproducible
contable_a,TRUE,A,d,numeric,contable_a,contable_a,contable_a
contable_b,TRUE,B,d,numeric,contable_b,contable_b,contable_b
contable_c,TRUE,C,d,numeric,contable_c,contable_c,contable_c
contable_d,TRUE,D,d,numeric,contable_d,contable_d,contable_d
prevtable_a,TRUE,P,d,numeric,prevtable_a,prevtable_a,prevtable_a
prevtable_b,TRUE,R,d,numeric,prevtable_b,prevtable_b,prevtable_b
prevtable_c,TRUE,Q,d,numeric,prevtable_c,prevtable_c,prevtable_c
prevtable_d,TRUE,S,d,numeric,prevtable_d,prevtable_d,prevtable_d
table_n_exp,TRUE,nexp,d,numeric,table_n_exp,table_n_exp,table_n_exp
table_n_ref,TRUE,nref,d,numeric,table_n_ref,table_n_ref,table_n_ref
odds_ratio,TRUE,odds,d,numeric,odds_ratio,odds_ratio,odds_ratio
odds_ratio_lo,TRUE,oddslo,d,numeric,odds_ratio_lo,odds_ratio_lo,odds_ratio_lo
odds_ratio_up,TRUE,oddsup,d,numeric,odds_ratio_up,odds_ratio_up,odds_ratio_up
odds_ratio_sig,TRUE,oddsig,c,text,odds_ratio_sig,odds_ratio_sig,odds_ratio_sig
odds_ratio_confidence,TRUE,oddsci,d,numeric,odds_ratio_confidence,odds_ratio_confidence,odds_ratio_confidence
